book_id,ISBN,title,author,type,press,entey_time
8001,9787111421900,深入理解Java虚拟机,周志明,6,机械工业出版社,1538986683650
8002,9787111421900,深入理解Java虚拟机,周志明,6,机械工业出版社,1538986683650
8003,9787111547426,Java核心技术 中文第10版 卷1,[美]凯.S.霍斯特曼[Cay S.Horstman] 著 周立新 等译,6,机械工业出版社,1538986683650
8004,9787111547426,Java核心技术 中文第10版 卷1,[美]凯.S.霍斯特曼[Cay S.Horstman] 著 周立新 等译,6,机械工业出版社,1538986683650
8005,9787111573319,Java核心技术 中文第10版 卷2,[美]凯.S.霍斯特曼[Cay S.Horstman] 著 周立新 等译,6,机械工业出版社,1538986683650
8006,9787111573319,Java核心技术 中文第10版 卷2,[美]凯.S.霍斯特曼[Cay S.Horstman] 著 周立新 等译,6,机械工业出版社,1538986683650
8007,9787111502067,Java多线程编程核心技术,高洪岩,6,机械工业出版社,1538986683650
8008,9787111502067,Java多线程编程核心技术,高洪岩,6,机械工业出版社,1538986683650
8009,9787111603702,利用Python进行数据分析 原书第2版 ,[美] 韦斯·麦金尼 Wes McKinney ,6,机械工业出版社,1538986683650
8010,9787111603702,利用Python进行数据分析 原书第2版 ,[美] 韦斯·麦金尼 Wes McKinney ,6,机械工业出版社,1538986683650 
8011,9787115387325,C++并发编程实战,[美] Anthony Williams 威廉姆斯  著，周全，梁娟娟，宋真真，许敏 译,人民邮电出版社,1538986683650
8012,9787115387325,C++并发编程实战,[美] Anthony Williams 威廉姆斯  著，周全，梁娟娟，宋真真，许敏 译,人民邮电出版社,1538986683650
8013,9787115384881,Java8函数式编程,[英] Richard Warburton,6,人民邮电出版社,1538986683650
8014,9787115384881,Java8函数式编程,[英] Richard Warburton,6,人民邮电出版社,1538986683650
8015,9787115379597,Python Cookbook 第三版中文版,大卫·比斯利 [David Beazley] 布莱恩·K.琼斯 [Brian K.Jones], 6,人民邮电出版社,1538986683650
8016,9787115379597,Python Cookbook 第三版中文版,大卫·比斯利 [David Beazley] 布莱恩·K.琼斯 [Brian K.Jones], 6,人民邮电出版社,1538986683650
8017,9787115414779,Python核心编程 第3版 ,[美] Wesley Chun 著,6,人民邮电出版社,1538986683650
8018,9787115414779,Python核心编程 第3版 ,[美] Wesley Chun 著,6,人民邮电出版社,1538986683650
8019,9787115433503,Python网络编程 第3版 ,[美]Brandon Rhodes [美]John Goerzen ,6,人民邮电出版社,1538986683650
8020,9787115433503,Python网络编程 第3版 ,[美]Brandon Rhodes [美]John Goerzen ,6,人民邮电出版社,1538986683650
8021,9787115474889,Python基础教程,Magnus Lie Hetland,6,人民邮电出版社,1538986683650
8022,9787115474889,Python基础教程,Magnus Lie Hetland,6,人民邮电出版社,1538986683650
8023,9787115402844,Redis实战,Josiah L.Carlson,6,人民邮电出版社,1538986683650
8024,9787115402844,Redis实战,Josiah L.Carlson,6,人民邮电出版社,1538986683650
8025,9787115341082,MongoDB权威指南 第2版 ,霍多罗夫 [Kristina Chodorow],6,人民邮电出版社,1538986683650
8026,9787115341082,MongoDB权威指南 第2版 ,霍多罗夫 [Kristina Chodorow],6,人民邮电出版社,1538986683650
8027,9787115478818,笨办法学Python 3,[美]泽德·A.肖 Zed A.Shaw  著,6,人民邮电出版社,1538986683650
8028,9787115478818,笨办法学Python 3,[美]泽德·A.肖 Zed A.Shaw  著,6,人民邮电出版社,1538986683650
8029,9787121177408,JavaScript语言精粹,道格拉斯 克罗克福德 [Douglas Crockford],6,电子工业出版社,1538986683650
8030,9787121177408,JavaScript语言精粹,道格拉斯 克罗克福德 [Douglas Crockford],6,电子工业出版社,1538986683650
8031,9787512329232,JavaScript模式,道格拉斯 克罗克福德 [Douglas Crockford],6,电子工业出版社,1538986683650
8032,9787512329232,JavaScript模式,道格拉斯 克罗克福德 [Douglas Crockford],6,电子工业出版社,1538986683650
8033,9787121276576,ES6 标准入门 第2版 ,阮一峰 ,6,电子工业出版社,1538986683650
8034,9787121276576,ES6 标准入门 第2版 ,阮一峰 ,6,电子工业出版社,1538986683650
8200,9787302386346,算法设计与分析基础,Anany levitin,5,清华大学出版社,1538986683650
8201,9787302386346,算法设计与分析基础,Anany levitin,5,清华大学出版社,1538986683650
8202,9787115293800,算法,[美]Robert Sedgewick; Kevin Wayne,5,人民邮电出版社,1538986683650
8203,9787115293800,算法,[美]Robert Sedgewick; Kevin Wayne,5,人民邮电出版社,1538986683650
8204,9787115293800,算法,[美]Robert Sedgewick; Kevin Wayne,5,人民邮电出版社,1538986683650
8205,9787115320100,挑战程序设计竞赛,秋叶拓哉 岩田阳一 北川宜稔,5,人民邮电出版社,1538986683650
8206,9787115320100,挑战程序设计竞赛,秋叶拓哉 岩田阳一 北川宜稔,5,人民邮电出版社,1538986683650
8207,9787301246450,数值最优化方法,高力,5,北京大学出版社,1538986683650
8208,9787301246450,数值最优化方法,高力,5,北京大学出版社,1538986683650
8209,9787121287992,谁说菜鸟不会数据分析[入门篇],张文霖;刘夏璐 狄松,5,电子工业出版社,1538986683650
8210,9787121287992,谁说菜鸟不会数据分析[入门篇],张文霖;刘夏璐 狄松,5,电子工业出版社,1538986683650
8211,9787121287992,谁说菜鸟不会数据分析[工具篇],张文霖，狄松，林凤琼 等;,5,电子工业出版社,1538986683650
